team,pa,xwoba,xslg,xba,avg_ev,hardhit_rate,bb_rate,k_rate,offense_score
ATH,459,0.2683505832207009,0.4002902993348115,0.27349924810961396,82.62265625,0.06318082788671024,0.026143790849673203,0.05664488017429194,-1.0922192725797921
ATL,581,0.3138234181134226,0.5922911017238632,0.2936788271985302,83.38432432432433,0.0757314974182444,0.024096385542168676,0.060240963855421686,0.37708974268495615
AZ,535,0.31046883962937694,0.6256083762158293,0.38306235773566033,82.4482993197279,0.05794392523364486,0.022429906542056073,0.08224299065420561,0.3936921285929015
BAL,765,0.28810608938206383,0.5260741760640467,0.27770895288761666,83.09411764705882,0.07058823529411765,0.03137254901960784,0.0718954248366013,-0.284367751140836
BOS,697,0.3068549656725465,0.5535212125871208,0.3271464015454638,81.93829787234043,0.09182209469153516,0.021520803443328552,0.06886657101865136,0.20688815860578452
CHC,723,0.32310321679931625,0.5973606541229411,0.32357459489113577,83.9532,0.08713692946058091,0.022130013831258646,0.059474412171507604,0.743511374634982
CIN,787,0.27626484172705673,0.5023033200239194,0.3071117413898149,83.64,0.07369758576874205,0.021601016518424398,0.07115628970775095,-0.5221914001424938
CLE,494,0.2877595643580198,0.5117081609258268,0.30242238394282406,82.15690607734807,0.08502024291497975,0.018218623481781375,0.058704453441295545,-0.3566605077728906
COL,735,0.2606114238121806,0.5367349497319047,0.3119506642831018,83.26416666666667,0.07891156462585033,0.013605442176870748,0.08843537414965986,-0.8197688005425673
CWS,494,0.28554225646426473,0.5280853120033626,0.287685261250017,82.4918918918919,0.09716599190283401,0.016194331983805668,0.06072874493927125,-0.30972121467266667
DET,478,0.26658199126084003,0.4765972287516405,0.34070642959981196,81.37448275862069,0.04602510460251046,0.02301255230125523,0.08368200836820083,-1.0497794698342058
HOU,653,0.273038353812111,0.5150000983454049,0.2856745676394969,80.27385321100918,0.07503828483920368,0.015313935681470138,0.06278713629402756,-0.9164218890419839
KC,609,0.2940134501508536,0.4664536432994825,0.26653793286410443,83.20974358974358,0.07717569786535304,0.026272577996715927,0.047619047619047616,-0.3229824131002769
LAA,614,0.2931136465437216,0.5510669038374667,0.31423314193929053,83.03279569892473,0.0732899022801303,0.019543973941368076,0.07003257328990228,-0.1550501018342246
LAD,766,0.31046797530253745,0.5770354167621642,0.3230501503951461,82.52557251908397,0.0783289817232376,0.0195822454308094,0.06266318537859007,0.2551466743528507
MIA,467,0.3234857191169397,0.4700705935896695,0.30253774630126967,82.27371428571428,0.08565310492505353,0.032119914346895075,0.042826552462526764,0.3766258905885886
MIL,571,0.29907085831717756,0.4833639766041697,0.29468862761184916,82.29615384615384,0.06304728546409807,0.03327495621716287,0.06304728546409807,-0.23101020373693615
MIN,544,0.2542981241732702,0.540206066366642,0.2596425283562701,84.11719745222929,0.07720588235294118,0.02022058823529412,0.08272058823529412,-0.9221035986797034
NYM,529,0.3255477903733935,0.5805925595238095,0.34645082981207176,86.27385620915032,0.0945179584120983,0.02835538752362949,0.06805293005671077,1.1005181279537124
NYY,586,0.3325372285709344,0.7077198972849913,0.36144092896932534,83.70867346938776,0.08532423208191127,0.01877133105802048,0.07508532423208192,1.1983793295152259
PHI,611,0.25090281299507294,0.48583146604366084,0.30320710151585145,84.02959641255605,0.09492635024549918,0.009819967266775777,0.08183306055646482,-1.0027264565276746
PIT,588,0.31100560758490503,0.5463796370886482,0.3179958235314812,85.19435897435898,0.08843537414965986,0.02040816326530612,0.05782312925170068,0.47054195443874475
SD,456,0.34486038120618606,0.6469195717810283,0.3713870150019029,83.1,0.10307017543859649,0.019736842105263157,0.05921052631578947,1.4131972399670858
SEA,611,0.34502174209988723,0.7241940804052235,0.3935416859822995,84.07475247524752,0.09656301145662848,0.027823240589198037,0.08346972176759411,1.7584043494971207
SF,590,0.3233883305871872,0.5371726165850619,0.2951199482768109,82.28140703517587,0.07457627118644068,0.03220338983050847,0.05084745762711865,0.43184285445601217
STL,588,0.2824046958862488,0.529224807345379,0.3418652193809204,82.58615384615385,0.08163265306122448,0.017006802721088437,0.07482993197278912,-0.3322364748241266
TB,656,0.3010492821781789,0.4908294691540084,0.33569626796552365,80.9204761904762,0.0625,0.021341463414634148,0.057926829268292686,-0.3058645570504085
TEX,535,0.2532247739145724,0.447217404550913,0.2910509007275935,82.24419889502762,0.07476635514018691,0.009345794392523364,0.06542056074766354,-1.3545508485832203
TOR,559,0.307965470407059,0.47154143535721177,0.2864778599560622,83.36328502415459,0.09838998211091235,0.03041144901610018,0.046511627906976744,0.21387289877258125
WSH,565,0.31405221067257216,0.6815408215825389,0.35704051013488075,86.16772486772487,0.10088495575221239,0.01592920353982301,0.08672566371681416,1.0379442360034061
