date,phase,away,home,venue_id,venue,home_score,away_score,y_home,p_home,pred_home,projected_total,away_expected_runs,home_expected_runs,logit,x_off,x_starter,x_bullpen,x_park,x_weather,x_context,W_OFF,W_ST,W_BP,W_PK,W_WX,W_CTX,HFA,p_home_raw,projected_margin
2026-02-21,spring,ATH,CWS,4,Rate Field,11,2,1,0.583558967877037,1,9.05758995677039,4.298355146432006,4.759234810338382,0.3846635572527742,0.5914999865592652,0.12940264495369,0.7754554433066454,-0.0296507225243368,0.0,0.5054881941640811,0.2924048675177554,0.3541690261426544,0.0678589849580613,0.0197932267058392,0.0130232744155196,0.1008827065402926,0.0628459203611123,0.5949974020009665,
2026-02-21,spring,ATL,TB,12,Tropicana Field,1,5,0,0.4812958342129947,0,9.08692901817971,4.592340243039457,4.494588775140253,-0.0313219309160109,-0.0938510738596922,-0.1335781807864915,0.0,0.025,0.0,-0.1973669978354058,0.2924048675177554,0.3541690261426544,0.0678589849580613,0.0197932267058392,0.0130232744155196,0.1008827065402926,0.0628459203611123,0.4921701573915031,
2026-02-21,spring,BOS,MIN,3312,Target Field,2,7,0,0.5063663556597321,1,8.504824806977034,4.269172884903057,4.235651922073977,0.0699049202770853,-0.174213339295318,0.1666071759576808,0.0,-0.0302847898268998,0.0003199999999999,-0.0040840169343533,0.2924048675177554,0.3541690261426544,0.0678589849580613,0.0197932267058392,0.0130232744155196,0.1008827065402926,0.0628459203611123,0.5174691167905946,
2026-02-21,spring,CIN,CLE,5,Progressive Field,4,2,1,0.5029130242767677,1,8.04111476624229,4.041547068323684,3.999567697918605,0.0559652486521883,0.2983121764831923,-0.1800108856837454,0.0,0.0114505967380369,0.008,-0.3041666463910538,0.2924048675177554,0.3541690261426544,0.0678589849580613,0.0197932267058392,0.0130232744155196,0.1008827065402926,0.0628459203611123,0.5139876614468585,
2026-02-21,spring,CLE,MIL,32,American Family Field,6,9,0,0.6024018521856467,1,8.78003290457961,4.256299233094768,4.523733671484841,0.4634529542691152,0.0296598240043741,1.0835384967290738,0.0,0.0424592368421103,0.0112,0.0712938530043581,0.2924048675177554,0.3541690261426544,0.0678589849580613,0.0197932267058392,0.0130232744155196,0.1008827065402926,0.0628459203611123,0.6138329925277052,
2026-02-21,spring,COL,AZ,15,Chase Field,6,11,0,0.5445066721203013,1,8.773166816142039,4.280024189132279,4.49314262700976,0.2243230748485352,-0.0463254036626563,0.2689656673667045,0.6107103431356261,0.0183520195774,0.0064,0.3754344247997406,0.2924048675177554,0.3541690261426544,0.0678589849580613,0.0197932267058392,0.0130232744155196,0.1008827065402926,0.0628459203611123,0.5558467768171744,
2026-02-21,spring,DET,NYY,3313,Yankee Stadium,20,3,1,0.7007239833272311,1,8.814385207536663,3.896112172066483,4.91827303547018,0.9026594619304324,2.148292432874375,0.2281101826619356,1.208749731484688,0.0395210008368129,0.01504,0.4743148723541178,0.2924048675177554,0.3541690261426544,0.0678589849580613,0.0197932267058392,0.0130232744155196,0.1008827065402926,0.0628459203611123,0.7114957161147215,
2026-02-21,spring,HOU,WSH,3309,Nationals Park,2,1,1,0.4843571664363789,0,8.8723405772782,4.463536561843197,4.4088040154350026,-0.0189510781611436,-0.1923788280937718,-0.0927167647008703,0.0,-0.0305881930664208,0.01088,0.0768878984434861,0.2924048675177554,0.3541690261426544,0.0678589849580613,0.0197932267058392,0.0130232744155196,0.1008827065402926,0.0628459203611123,0.4952623722494957,
2026-02-21,spring,LAD,LAA,1,Angel Stadium,2,15,0,0.5910916015278119,1,9.398621176925577,4.527352283158513,4.871268893767064,0.41602420316157,0.7336567468050994,0.3748022685842526,0.0,-0.0247593554085986,0.0,0.0634419142888425,0.2924048675177554,0.3541690261426544,0.0678589849580613,0.0197932267058392,0.0130232744155196,0.1008827065402926,0.0628459203611123,0.6025314862718801,
2026-02-21,spring,MIA,NYM,3289,Citi Field,1,2,0,0.4348322477779695,0,8.139021953565978,4.292086098551423,3.846935855014554,-0.220328856902442,-1.1876353523042686,0.2605541362446646,0.0,0.0110451218158572,0.01168,-0.283055000499005,0.2924048675177554,0.3541690261426544,0.0678589849580613,0.0197932267058392,0.0130232744155196,0.1008827065402926,0.0628459203611123,0.4451395389533048,
2026-02-21,spring,PHI,TOR,14,Rogers Centre,3,0,1,0.6175282029491386,1,9.177197145596708,4.412375166737952,4.7648219788587545,0.5276156708834931,1.1908140651426766,0.4990324314929407,0.0,0.0516441844761433,0.0003199999999999,-0.6066280664679023,0.2924048675177554,0.3541690261426544,0.0678589849580613,0.0197932267058392,0.0130232744155196,0.1008827065402926,0.0628459203611123,0.6289268335787719,
2026-02-21,spring,PIT,BAL,2,Oriole Park at Camden Yards,2,8,0,0.6498719761422618,1,8.55060101654897,4.015747877052486,4.5348531394964855,0.6682847971760701,1.2829057198415803,0.6238631002078161,0.8023157877751708,-0.0143182534687413,0.0216,-0.4468974087913694,0.2924048675177554,0.3541690261426544,0.0678589849580613,0.0197932267058392,0.0130232744155196,0.1008827065402926,0.0628459203611123,0.661118990271361,
2026-02-21,spring,SD,KC,7,Kauffman Stadium,3,10,0,0.3718573019360894,0,8.02380766859309,4.258440311831485,3.765367356761605,-0.4847972381548461,-1.1415798261482113,-0.6538905473396461,0.2016222724456391,0.0021208703165023,0.0128,0.038238051542312,0.2924048675177554,0.3541690261426544,0.0678589849580613,0.0197932267058392,0.0130232744155196,0.1008827065402926,0.0628459203611123,0.3811199689841479,
2026-02-21,spring,SF,SEA,680,T-Mobile Park,5,10,0,0.6097862532305048,1,8.772376668831175,4.248717967035207,4.523658701795969,0.4946639563011381,0.3796520409310633,1.234265904829379,-1.964560698213746,0.0439400052152985,0.0064,0.1588697376608543,0.2924048675177554,0.3541690261426544,0.0678589849580613,0.0197932267058392,0.0130232744155196,0.1008827065402926,0.0628459203611123,0.6212045241499435,
2026-02-21,spring,TEX,CHC,17,Wrigley Field,2,3,0,0.4537233383975799,0,8.63090289966221,4.42581863750526,4.20508426215695,-0.1431115235867912,-0.2942509574785029,-0.1865255029228953,-0.7234228484498002,0.0268972012137707,0.0096,-0.0537469881499048,0.2924048675177554,0.3541690261426544,0.0678589849580613,0.0197932267058392,0.0130232744155196,0.1008827065402926,0.0628459203611123,0.4642830579225783,
2026-02-21,spring,WSH,STL,2889,Busch Stadium,2,6,0,0.5683614469168972,1,8.452786303813014,4.122591125108404,4.330195178704609,0.3218683794232186,0.661602543431559,0.2747973985211769,0.0,-0.0037542279344448,0.00224,-0.3143545307004787,0.2924048675177554,0.3541690261426544,0.0678589849580613,0.0197932267058392,0.0130232744155196,0.1008827065402926,0.0628459203611123,0.5797795229244985,
2026-02-22,spring,BAL,DET,2394,Comerica Park,4,4,0,0.3490184089893194,0,9.176191831191671,4.883302562434549,4.292889268757123,-0.5847941729990123,-0.7000830341665235,-0.920741636252568,-1.7108876040800487,-0.0012449826965857,0.022,-0.0098828780376853,0.2924048675177554,0.3541690261426544,0.0678589849580613,0.0197932267058392,0.0130232744155196,0.1008827065402926,0.0628459203611123,0.3578302021815825,
2026-02-22,spring,CHC,SF,2395,Oracle Park,4,2,1,0.4443719020280863,0,8.52504290188062,4.325816707483781,4.199226194396839,-0.1812532514032072,-0.5330984618558046,-0.598646289761414,1.5934861272018377,0.001822750967959,0.0144,0.1531226006481103,0.2924048675177554,0.3541690261426544,0.0678589849580613,0.0197932267058392,0.0130232744155196,0.1008827065402926,0.0628459203611123,0.4548103364878978,
2026-02-22,spring,CLE,ATH,2529,Sutter Health Park,0,6,0,0.4377939252750394,0,8.990459818280637,4.734361602640192,4.256098215640446,-0.2081776862005999,-1.0455882043489702,0.1574826009442921,0.948364600902629,-0.0182796773901402,0.0064,-0.843956143392594,0.2924048675177554,0.3541690261426544,0.0678589849580613,0.0197932267058392,0.0130232744155196,0.1008827065402926,0.0628459203611123,0.4481427256415068,
2026-02-22,spring,COL,TEX,5325,Globe Life Field,9,5,1,0.361277638142466,0,7.815709844865104,4.151101176913993,3.6646086679511103,-0.5307758179387062,-1.178538153087013,-0.7974293407156909,0.1123386260746687,0.020869902499315,0.0128,0.2498977509685396,0.2924048675177554,0.3541690261426544,0.0678589849580613,0.0197932267058392,0.0130232744155196,0.1008827065402926,0.0628459203611123,0.3703359589998674,
2026-02-22,spring,KC,MIL,32,American Family Field,3,7,0,0.4183306321963728,0,9.288524140336104,4.80536968056323,4.483154459772873,-0.2884076396871677,-0.8776489130866989,-0.4563202502861417,1.146242936473293,0.0423266102874977,0.0003199999999999,-0.1153327211512531,0.2924048675177554,0.3541690261426544,0.0678589849580613,0.0197932267058392,0.0130232744155196,0.1008827065402926,0.0628459203611123,0.4283937478525488,
2026-02-22,spring,LAA,AZ,15,Chase Field,9,10,0,0.4119456197198506,0,9.119296180298251,4.691381747674532,4.42791443262372,-0.3149437820393257,-0.3362269742165222,-0.7471893715593285,-0.376970460332295,0.0112607316104374,0.0,0.1042198456485072,0.2924048675177554,0.3541690261426544,0.0678589849580613,0.0197932267058392,0.0130232744155196,0.1008827065402926,0.0628459203611123,0.4219084787124744,
2026-02-22,spring,LAD,SD,2680,Petco Park,1,5,0,0.5185828916889411,1,8.1796440758356,4.105555173903203,4.074088901932398,0.1192467596032365,0.2942802779580211,0.2825821796382183,-1.9403429910869432,0.0371812694186758,0.01632,0.0098255383043398,0.2924048675177554,0.3541690261426544,0.0678589849580613,0.0197932267058392,0.0130232744155196,0.1008827065402926,0.0628459203611123,0.5297764137319076,
2026-02-22,spring,MIL,CWS,4,Rate Field,5,2,1,0.5355049290227774,1,8.481383227892929,4.120280684300198,4.361102543592731,0.1877549141269112,0.4200707281667685,-0.1648191561187774,0.5074445251581821,-0.0305789664498813,0.01792,0.2615841505788351,0.2924048675177554,0.3541690261426544,0.0678589849580613,0.0197932267058392,0.0130232744155196,0.1008827065402926,0.0628459203611123,0.5468013229149665,
2026-02-22,spring,MIN,ATL,4705,Truist Park,1,8,0,0.6678245553873275,1,8.448734219323166,3.922271727869769,4.526462491453397,0.748893930894398,0.9648588149777928,0.9125422068122132,1.3627305346179284,-0.0268789719902399,0.0048,-0.1118089462774297,0.2924048675177554,0.3541690261426544,0.0678589849580613,0.0197932267058392,0.0130232744155196,0.1008827065402926,0.0628459203611123,0.6789376445059188,
2026-02-22,spring,NYM,NYY,3313,Yankee Stadium,4,6,0,0.7277492549109248,1,8.957140854765314,3.9952471904664,4.9618936642989135,1.0363444967159483,2.094401248119124,1.1736144763375018,-1.6157257280650956,0.0434309764702561,0.0,0.5373510613566537,0.2924048675177554,0.3541690261426544,0.0678589849580613,0.0197932267058392,0.0130232744155196,0.1008827065402926,0.0628459203611123,0.7381440586710514,
2026-02-22,spring,PIT,PHI,2681,Citizens Bank Park,3,4,0,0.5840954517433201,1,7.698396523499104,3.779812762522263,3.918583760976841,0.3868915505080563,0.3162622706248335,1.0316407668806806,-1.9064628354586843,0.0389507216270319,0.0,-0.0516097426283186,0.2924048675177554,0.3541690261426544,0.0678589849580613,0.0197932267058392,0.0130232744155196,0.1008827065402926,0.0628459203611123,0.5955341799424115,
2026-02-22,spring,SEA,CIN,2602,Great American Ball Park,8,14,0,0.5674205171746444,1,9.14399931804546,4.447548571101814,4.696450746943644,0.317999241540733,0.1065423606041615,0.3224500246210759,1.5734718764276476,0.0110596042367874,0.01792,0.0254901806731896,0.2924048675177554,0.3541690261426544,0.0678589849580613,0.0197932267058392,0.0130232744155196,0.1008827065402926,0.0628459203611123,0.5788365747444228,
2026-02-22,spring,STL,HOU,2392,Daikin Park,5,6,0,0.5771510737701722,1,7.748867574123753,3.815018955742645,3.933848618381108,0.3581137440458368,0.2809491379571036,0.8847799707115016,-1.2736012971661843,0.0104856708618334,0.00368,-0.1395175891128566,0.2924048675177554,0.3541690261426544,0.0678589849580613,0.0197932267058392,0.0130232744155196,0.1008827065402926,0.0628459203611123,0.5885837481161098,
2026-02-22,spring,TB,PIT,31,PNC Park,7,4,1,0.4449184318547241,0,7.257650064199829,3.6270323923571217,3.630617671842708,-0.1790199622609689,-0.7471812168540974,-0.541954026893461,1.0952584275098278,0.0092503594003219,0.0,0.9322772517703908,0.2924048675177554,0.3541690261426544,0.0678589849580613,0.0197932267058392,0.0130232744155196,0.1008827065402926,0.0628459203611123,0.4553641538229355,
2026-02-22,spring,TOR,BOS,3,Fenway Park,11,10,1,0.4649368548264057,0,8.958424587436014,4.582049339103318,4.376375248332694,-0.0975478521218517,-1.5339880408023994,0.7495240577246003,-0.8143983574555252,0.0439739906402413,0.02328,0.7611241935737612,0.2924048675177554,0.3541690261426544,0.0678589849580613,0.0197932267058392,0.0130232744155196,0.1008827065402926,0.0628459203611123,0.4756323566011466,
