date,phase,game_pk,away,home,venue_id,venue,away_pitcher,home_pitcher,away_score,home_score,y_home,p_home,pred_home,projected_total,projected_total_raw,projected_total_model,projected_total_simple,projected_total_sigma_raw,projected_total_sigma,away_expected_runs,home_expected_runs,p_home_raw,logit,projected_margin,x_off,x_starter,x_bullpen,x_park,x_weather,x_context,W_OFF,W_ST,W_BP,W_PK,W_WX,W_CTX,HFA
2026-02-21,spring,831948,ATH,CWS,3809,Camelback Ranch,Jack Perkins,Chris Murphy,2,11,1,0.5366982988440095,1,10.644594409126036,9.333570276350274,10.30488941836533,10.871064402966507,5.869117433737538,4.993961556411782,5.236724255782855,5.407870153343181,0.5448935120642366,0.1800589538769121,0.17114589756032572,0.3269608346967241,0.10702623678355644,-0.4133556887834263,0.0,0.0,0.048782571919627586,0.27217949307259875,0.5448754248348529,0.10439843839701751,0.030451118008983393,0.020035806793107222,0.1552041639081425,0.06833338352208673
2026-02-21,spring,831543,ATL,TB,2534,Charlotte Sports Park,Carlos Carrasco,TJ Nichols,5,1,0,0.40581954837849143,0,10.571445005222028,9.150614486332124,10.122015908605311,10.871064402966507,6.2,5.275505559280597,5.7694053809587,4.80203962426333,0.42558752894587015,-0.2998770936342613,-0.9673657566953704,-1.3505632393596427,0.0,0.0,0.0,0.0,-0.0039616160383258514,0.27217949307259875,0.5448754248348529,0.10439843839701751,0.030451118008983393,0.020035806793107222,0.1552041639081425,0.06833338352208673
2026-02-21,spring,831654,BOS,MIN,2862,Lee Health Sports Complex,Payton Tolle,Eston Stull,7,2,0,0.48168570368389196,0,10.157288483394165,8.114757328266684,9.086624604035652,10.871064402966507,5.669596910680812,4.824191938899471,5.1581825334594145,4.9991059499347505,0.49880870056650184,-0.004765206751012236,-0.15907658352466392,-0.4244457913553922,0.022501330310145406,0.3726391331397205,0.0,0.0,-0.056290470710926965,0.27217949307259875,0.5448754248348529,0.10439843839701751,0.030451118008983393,0.020035806793107222,0.1552041639081425,0.06833338352208673
2026-02-21,spring,831900,CIN,CLE,3834,Goodyear Ballpark,Chase Burns,Logan Allen,2,4,1,0.48212728065105276,0,10.2747338958186,8.408502964831506,9.38023813509674,10.871064402966507,5.308033932491372,4.5165423418884325,5.307591587644735,4.967142308173863,0.4707796387393951,-0.11701478081597286,-0.3404492794708718,-0.033228441436976786,-0.32251351941229334,0.0,0.0,0.0,-0.00370075823309771,0.27217949307259875,0.5448754248348529,0.10439843839701751,0.030451118008983393,0.020035806793107222,0.1552041639081425,0.06833338352208673
2026-02-21,spring,831878,CLE,MIL,2518,American Family Fields of Phoenix,Joey Cantillo,Garrett Stallings,9,6,0,0.5616540829056584,1,10.482272884988575,8.927583882742868,9.899085608021675,10.871064402966507,5.599106708387539,4.764212672113507,5.002198645825343,5.4800742391632316,0.5503168589532905,0.20195101578789615,0.4778755933378882,0.8880454822282826,-0.17948651504947083,0.0,0.0,0.0,-0.06631488172494954,0.27217949307259875,0.5448754248348529,0.10439843839701751,0.030451118008983393,0.020035806793107222,0.1552041639081425,0.06833338352208673
2026-02-21,spring,831872,COL,AZ,4249,Salt River Fields at Talking Stick,Valente Bellozo,Mitch Bratt,11,6,0,0.6831294093354988,1,11.012313300352487,10.253281123717112,11.224186646431457,10.871064402966507,6.2,5.275505559280597,4.56315281260522,6.449160487747265,0.7218996678957227,0.9539042096737244,1.8860076751420447,1.6065384639595457,0.6966348595070968,0.6035989162648067,0.0,0.009902680687415703,0.0355118947124175,0.27217949307259875,0.5448754248348529,0.10439843839701751,0.030451118008983393,0.020035806793107222,0.1552041639081425,0.06833338352208673
2026-02-21,spring,831655,DET,NYY,2523,George M. Steinbrenner Field,Keider Montero,Carlos Lagrange,3,20,1,0.7108133193167103,1,10.882696153993095,9.929092461247624,10.90014378053298,10.871064402966507,6.0741341699389295,5.168407835698235,4.509715927035441,6.372980226957654,0.6839426462531317,0.7719503672829073,1.8632642999222124,3.087039287059775,-0.18873900491292805,-0.148962792257262,-0.03563446459955044,-0.007771459614569709,-0.10940595234643977,0.27217949307259875,0.5448754248348529,0.10439843839701751,0.030451118008983393,0.020035806793107222,0.1552041639081425,0.06833338352208673
2026-02-21,spring,831598,HOU,WSH,5000,CACTI Park of the Palm Beaches,Colton Gordon,Jake Eder,1,2,1,0.648063479110462,1,10.61832438882315,9.267865676424702,10.23921436760812,10.871064402966507,5.818921834913834,4.951250724049546,4.650231090254365,5.968093298568788,0.632489538558034,0.5429118958792166,1.3178622083144234,2.013273489859144,-0.12246947522399121,0.0,0.0,0.0,-0.04292821802901489,0.27217949307259875,0.5448754248348529,0.10439843839701751,0.030451118008983393,0.020035806793107222,0.1552041639081425,0.06833338352208673
2026-02-21,spring,832063,LAD,LAA,2500,Tempe Diablo Stadium,Yoshinobu Yamamoto,José Soriano,15,2,0,0.47991365087345095,0,10.616020202339552,9.262102618409775,10.233453901399121,10.871064402966507,5.63026370601174,4.790723787303341,5.446855164152042,5.16916503818751,0.48309157257692986,-0.06765950890851273,-0.2776901259645328,-0.25542934555429053,-0.10488578916183712,0.0,0.0,0.0,-0.06005363179939394,0.27217949307259875,0.5448754248348529,0.10439843839701751,0.030451118008983393,0.020035806793107222,0.1552041639081425,0.06833338352208673
2026-02-21,spring,831497,MIA,NYM,2856,Clover Park,Robby Snelling,Brandon Waddell,2,1,0,0.6688114563839108,1,10.790828721076107,9.69932054419518,10.670475198240506,10.871064402966507,6.2,5.275505559280597,4.6438952014690935,6.146933519607014,0.659837298297517,0.6625692493307521,1.5030383181379205,2.1790383617623488,0.0,0.0,0.0,0.0,0.007385814204841878,0.27217949307259875,0.5448754248348529,0.10439843839701751,0.030451118008983393,0.020035806793107222,0.1552041639081425,0.06833338352208673
