batter,batter_id,pa,xwoba,xba,xslg,avg_ev,hardhit_rate,batter_score
Billy McKinney,641856,55,0.31944939271255063,0.28683400809716597,0.475336032388664,82.5,0.07272727272727272,0.03252337579951835
Blaine Crim,688760,89,0.30091662274509806,0.4429346405228758,0.7641650326797386,86.11818181818181,0.06741573033707865,0.396548164713721
Blake Perkins,663368,18,0.32233333333333336,0.39180000000000004,0.4224,76.23333333333333,0.0,-0.3189499881484795
Blaze Alexander,677942,70,0.363677513283208,0.45583051378446116,0.8457384085213033,85.52105263157895,0.08571428571428572,0.7234882692449256
Bo Naylor,666310,53,0.279981458692185,0.30735358851674643,0.5268885167464115,78.35454545454546,0.09433962264150944,-0.10340852994740168
Bob Seymour,676044,77,0.2157643529411765,0.314,0.353,76.38636363636364,0.025974025974025976,-0.7178372631045115
Bobby Witt Jr.,677951,90,0.3720165101305452,0.3472317997791682,0.5231704392099129,85.74651162790697,0.15555555555555556,0.6581716862992871
Brady House,691781,43,0.15394970000000002,0.1381666666666667,0.18133333333333332,83.87857142857142,0.06976744186046512,-0.8464584565388944
Brandon Lowe,664040,76,0.318804160326087,0.3758,0.6729826086956522,80.60454545454546,0.06578947368421052,0.1692490756888385
Brandon Marsh,669016,75,0.296318974789916,0.5087755102040816,0.6898775510204082,81.435,0.06666666666666667,0.24473182270378635
Brandon Nimmo,607043,95,0.31288654666666665,0.34484166666666666,0.4690666666666667,85.58709677419354,0.09473684210526316,0.21549247134859578
Braxton Fulford,690924,27,0.13021385714285716,0.1015,0.11000000000000001,70.325,0.0,-1.6295609637052895
Brayan Rocchio,677587,84,0.3292984611111111,0.3825496031746032,0.6116130952380952,79.5516129032258,0.09523809523809523,0.23028157950043784
Brendan Donovan,680977,35,0.3505,0.3680412698412699,0.7252507936507936,88.23846153846154,0.17142857142857143,0.8680682963705635
Brent Rooker,667670,78,0.2612625263157895,0.28775,0.33875,79.61764705882354,0.01282051282051282,-0.5395355194913687
Brenton Doyle,686668,73,0.22000916666666667,0.23051333333333332,0.43350666666666665,85.25217391304348,0.0958904109589041,-0.23624708753845888
Brett Baty,683146,30,0.29144444444444445,0.31648496240601504,0.5719924812030074,82.94545454545454,0.1,0.12883092382572198
Brett Harris,695391,89,0.22575946828609986,0.2943760683760684,0.444034188034188,80.70454545454545,0.07865168539325842,-0.34200124056163905
Brett Wisely,689172,45,0.3029434444444445,0.354,0.3875,79.94545454545454,0.0,-0.3344622026332899
Brian Navarreto,640459,13,0.39558482142857126,0.3328392857142857,0.959053571428572,85.28571428571429,0.23076923076923078,1.261051806550101
Brice Matthews,694728,26,0.3246515151515152,0.3247318181818182,0.8258,81.425,0.07692307692307693,0.31325562154145886
Brice Turang,668930,92,0.3892669694041868,0.3975249597423511,0.6464995974235105,86.44347826086957,0.07608695652173914,0.6174845075499533
Brooks Baldwin,681460,76,0.39904128612337464,0.3816537714234496,1.050122139293927,82.42222222222223,0.10526315789473684,0.8981303945900874
Brooks Lee,686797,82,0.1912062592853371,0.16717265075644575,0.3037649691029193,83.95454545454545,0.10975609756097561,-0.4767198414216163
Bryan Reynolds,668804,81,0.4157994212962963,0.39003858024691357,0.6275061728395062,91.4,0.13580246913580246,1.0241423270781451
Bryce Eldridge,805811,61,0.2934165717171717,0.2729747474747475,0.7088333333333333,82.26470588235294,0.04918032786885246,0.014359525323084807
Bryce Harper,547180,69,0.267374625,0.3025,0.3593,83.60909090909091,0.07246376811594203,-0.1851007312209475
Bryce Johnson,669369,35,0.3366289,0.31677777777777777,0.4036666666666667,79.20625,0.08571428571428572,0.011487587975788818
Bryce Teodosio,669326,60,0.27876212499999997,0.246205,0.45328999999999997,80.02941176470588,0.06666666666666667,-0.2508257382876597
Bryson Stott,681082,99,0.2803809523809524,0.3175625,0.5556388888888889,81.06923076923077,0.06060606060606061,-0.09999388852231474
Byron Buxton,621439,79,0.4026326136363636,0.375359423076923,1.0830060027472528,86.90833333333335,0.10126582278481013,1.047497278522661
CJ Abrams,682928,79,0.2611104632034632,0.29023766233766235,0.4945045454545455,84.90689655172415,0.06329113924050633,-0.11249236306185306
CJ Kayfus,692216,37,0.3954126363636364,0.3822484375,0.6910078125,84.45714285714287,0.16216216216216217,0.8714275262531159
Cal Raleigh,663728,89,0.4107356963562753,0.46036035087719296,1.0055080701754384,86.153125,0.10112359550561797,1.0711349337098461
Caleb Durbin,702332,54,0.232598625,0.19774999999999998,0.224,79.20555555555556,0.037037037037037035,-0.7330576726407403
Cam Devanney,687478,15,0.4601656666666667,0.754,0.826,86.3,0.0,1.0519194344517155
Cam Smith,701358,61,0.14673492857142856,0.14200000000000002,0.1748888888888889,75.7625,0.03278688524590164,-1.2280555353685803
Carlos Correa,621043,94,0.4306104444444444,0.39284615384615384,0.49953846153846154,85.52962962962964,0.09574468085106383,0.6880880363316523
Carlos Cortes,666126,53,0.26766666666666666,0.3156,0.4264,84.48823529411764,0.07547169811320754,-0.08994237791830854
Carlos Narváez,665966,65,0.3254387596899225,0.3330639534883721,0.6397093023255814,84.60833333333333,0.07692307692307693,0.2847007141737661
Carlos Santana,467793,5,0.574,0.3075,1.112,79.15,0.2,1.6888258186184257
Carson Kelly,608348,60,0.21828941628959275,0.23431048951048952,0.43576923076923074,80.72500000000001,0.1,-0.3572120658877899
Carson McCusker,676812,53,0.14543912121212121,0.2382222222222222,0.4607777777777778,83.5625,0.07547169811320754,-0.5831168950832738
Carson Williams,700246,81,0.13839457894736842,0.2435,0.29225,83.12222222222222,0.07407407407407407,-0.7397933993213499
Carter Jensen,695600,98,0.3767650867768595,0.3271463636363636,0.6429175757575758,83.96666666666667,0.07142857142857142,0.42363721593236525
Carter Kieboom,666198,21,0.2678,0.2758,0.3468,82.83,0.14285714285714285,-0.015433385487879842
Casey Schmitt,669477,47,0.40821458333333327,0.37435416666666665,0.7893395833333334,87.12222222222222,0.14893617021276595,1.0150719689131713
Ceddanne Rafaela,678882,85,0.33242746116685246,0.3229890229596112,0.5233856209150327,79.38148148148149,0.07058823529411765,0.04435766557917491
Cedric Mullins,656775,20,0.2519994,0.11153333333333333,0.3561,82.66666666666667,0.1,-0.34534796649204574
Chandler Simpson,802415,68,0.3094736842105263,0.32505555555555554,0.37444444444444447,82.11851851851851,0.07352941176470588,-0.04936837750854848
Chase Meidroth,805367,92,0.21051851851851852,0.2624347826086956,0.30917391304347824,81.64594594594595,0.09782608695652174,-0.4295500034075364
