team,pa,xwoba,xslg,xba,avg_ev,hardhit_rate,bb_rate,k_rate,offense_score
ATH,825,0.29738861631817326,0.5187563989600518,0.3170310751671749,84.16610878661088,0.07151515151515152,0.024242424242424242,0.06787878787878789,-0.167482529983627
ATL,733,0.3194429232579811,0.6183683833782296,0.30190647633473044,83.3051724137931,0.0723055934515689,0.02455661664392906,0.06275579809004093,0.4556137425171344
AZ,965,0.32065757366834247,0.5687864328811967,0.35752672973048155,82.5435251798561,0.07046632124352331,0.027979274611398965,0.06632124352331606,0.5289397810704305
BAL,869,0.2924885862474334,0.5175288361124949,0.2758165255075385,82.854296875,0.06904487917146145,0.031070195627157654,0.0667433831990794,-0.4737087870517169
BOS,793,0.2898113650129481,0.5205047861969956,0.3154868482501649,82.04813432835822,0.08953341740226986,0.018915510718789406,0.06935687263556116,-0.4172794584152866
CHC,881,0.32967584967396474,0.6157509493185623,0.3392652002761678,84.12675585284282,0.09080590238365494,0.021566401816118047,0.06242905788876277,0.9905349070951568
CIN,913,0.2830586086511332,0.4925884108108465,0.30967847663550907,83.53710247349824,0.0755750273822563,0.023001095290251915,0.06790799561883899,-0.5885090814213645
CLE,881,0.2901965781204668,0.5065734495158589,0.3166474783648487,80.8055737704918,0.07491486946651532,0.021566401816118047,0.06242905788876277,-0.6217375228583413
COL,776,0.26076526088021096,0.5295570949827664,0.3134450770950176,83.04480000000001,0.07731958762886598,0.014175257731958763,0.08762886597938144,-1.077598682889115
CWS,809,0.3053206139416975,0.5595326235498187,0.315503253585212,83.07013888888889,0.09888751545117429,0.0173053152039555,0.0630407911001236,0.1594783047130971
DET,877,0.27684321599544875,0.5099570336489065,0.32683017960515487,81.30071428571429,0.05473204104903079,0.02394526795895097,0.07981755986316989,-0.9565804644169891
HOU,921,0.2810830154854858,0.4845154901323401,0.2810186071636572,80.95249169435216,0.07166123778501629,0.021715526601520086,0.05754614549402823,-1.0252625986949322
KC,932,0.31765743856288947,0.5262085424249812,0.3069796715037083,83.2684039087948,0.07939914163090128,0.02575107296137339,0.05042918454935622,0.25045002193046983
LAA,806,0.29637402796029233,0.5698845350103318,0.3088474867215277,83.32509960159362,0.08560794044665013,0.019851116625310174,0.06947890818858561,-0.07335608607610743
LAD,898,0.3081193835625596,0.5950519009379108,0.32087797859322187,82.94934210526316,0.0801781737193764,0.017817371937639197,0.06570155902004454,0.1820732594781831
MIA,796,0.2866062687261318,0.44427365105389005,0.29309042982057687,81.5611111111111,0.07412060301507538,0.02386934673366834,0.05527638190954774,-0.8911065963863499
MIL,736,0.3219769300987794,0.5276106196069055,0.3240039142797146,82.58644067796611,0.06657608695652174,0.028532608695652172,0.057065217391304345,0.2663079593699414
MIN,849,0.2722368157414239,0.5357440543477179,0.29133801411982446,82.89263565891473,0.07891637220259129,0.01884570082449941,0.07656065959952886,-0.8417252497706786
NYM,850,0.33657977385205207,0.5986950403805275,0.3388254240180319,85.26943396226416,0.0976470588235294,0.02588235294117647,0.06,1.287931765375999
NYY,877,0.3639896726196586,0.7052560326707208,0.347130745672378,84.54468864468865,0.08437856328392246,0.03420752565564424,0.06271379703534778,2.130458822642786
PHI,839,0.27433770471994495,0.542418475906981,0.3182903521933438,83.80346020761246,0.09177592371871275,0.013110846245530394,0.07866507747318235,-0.5635125489853012
PIT,883,0.2980867540837778,0.531725682354251,0.3215740637306363,83.84290780141845,0.08267270668176671,0.020385050962627407,0.06568516421291053,-0.0738708564752006
SD,741,0.348857412287658,0.613417708100316,0.3466376733362134,83.84615384615384,0.10796221322537113,0.022941970310391364,0.05128205128205128,1.547513787308136
SEA,897,0.3144822503770501,0.6430730123113437,0.3539991928942041,83.6583038869258,0.08695652173913043,0.027870680044593088,0.07915273132664437,0.8474573901283363
SF,720,0.3275059522466211,0.5500260232169528,0.3086179143163074,82.63805668016194,0.08055555555555556,0.027777777777777776,0.05,0.5075815154568328
STL,703,0.2913168490999692,0.5637942089637642,0.35526893547886695,83.07370689655171,0.08392603129445235,0.017069701280227598,0.07823613086770982,-0.07818780026916107
TB,918,0.2849136362509381,0.47173381810108395,0.32493797291008675,81.31849315068493,0.06209150326797386,0.0196078431372549,0.06209150326797386,-0.8949494968425084
TEX,793,0.2575061879931531,0.48710130079881436,0.2911415699407087,81.34743083003953,0.06935687263556116,0.013871374527112233,0.07313997477931904,-1.5565526594242411
TOR,856,0.31220243592792757,0.5176840597264952,0.3072007459298594,82.8150159744409,0.08878504672897196,0.02570093457943925,0.052570093457943924,0.15906827171019655
WSH,663,0.31433804715803326,0.676398952303812,0.3528225467344868,85.74885844748859,0.09502262443438914,0.015082956259426848,0.08295625942684766,0.9880108911642114
