team,pa,xwoba,xslg,xba,avg_ev,hardhit_rate,bb_rate,k_rate,offense_score
ATH,366,0.331601744423116,0.6729503699008405,0.37369154848019076,85.94594594594595,0.08196721311475409,0.02185792349726776,0.08196721311475409,0.5793573748082654
ATL,152,0.341140457010582,0.7301281618969426,0.3371678297755884,82.99361702127659,0.05921052631578947,0.02631578947368421,0.07236842105263158,0.4644631083373331
AZ,430,0.3343486850332024,0.5049710195976863,0.3288482552015885,82.65038167938931,0.08604651162790698,0.03488372093023256,0.046511627906976744,0.2376772090217482
BAL,104,0.32579556242424246,0.4676060606060606,0.26476076555023925,81.34,0.057692307692307696,0.028846153846153848,0.028846153846153848,-0.26484920884276975
BOS,96,0.16027999999999998,0.28755555555555556,0.23322222222222225,82.83030303030303,0.07291666666666667,0.0,0.07291666666666667,-2.199760021706424
CHC,158,0.3575312937617605,0.6945665001569389,0.4065106519263053,85.01224489795919,0.10759493670886076,0.0189873417721519,0.0759493670886076,0.9935918059259415
CIN,126,0.31910331649831647,0.448497668997669,0.32132750582750585,82.96279069767442,0.0873015873015873,0.031746031746031744,0.047619047619047616,-0.008596430556971568
CLE,387,0.29332231316360535,0.4994025594433175,0.336513558505952,78.83306451612903,0.06201550387596899,0.025839793281653745,0.06718346253229975,-0.5158362402666528
COL,41,0.2637497,0.38599999999999995,0.3433333333333333,77.78,0.04878048780487805,0.024390243902439025,0.07317073170731707,-1.0863643964772662
CWS,315,0.33509926452569744,0.607452336382514,0.3578925752388425,84.10873786407768,0.10158730158730159,0.01904761904761905,0.06666666666666667,0.485734649551439
DET,399,0.2889331738510769,0.5471450128786457,0.31136157305373385,81.22148148148148,0.06516290726817042,0.02506265664160401,0.07518796992481203,-0.42020607214094546
HOU,268,0.30021955916305915,0.4110752976190476,0.26980197510822507,82.73493975903614,0.06343283582089553,0.03731343283582089,0.04477611940298507,-0.4424754185435954
KC,323,0.3588257948567872,0.6287877859237536,0.3764046561683616,83.37053571428571,0.08359133126934984,0.02476780185758514,0.05572755417956656,0.6995866632915447
LAA,192,0.3072650892879862,0.6338644809980729,0.29053625898113383,84.16153846153846,0.125,0.020833333333333332,0.06770833333333333,0.2715614087993844
LAD,132,0.29510147506096773,0.6976675281997721,0.30850604354747957,85.59285714285714,0.09090909090909091,0.007575757575757576,0.08333333333333333,0.08489673824140131
MIA,329,0.22498490857946551,0.3952088779956427,0.2751220043572985,80.45752212389381,0.057750759878419454,0.0121580547112462,0.0729483282674772,-1.4715585173776746
MIL,165,0.39277751560554874,0.6283946397798038,0.3907776228009638,83.56481481481481,0.07878787878787878,0.012121212121212121,0.03636363636363636,0.9554449676668262
MIN,305,0.3015512629381628,0.5297434174946819,0.33396297773288025,80.98910891089109,0.08196721311475409,0.01639344262295082,0.06557377049180328,-0.2562947848129111
NYM,321,0.35528033121221725,0.6255470536513258,0.32751440542353955,83.89732142857143,0.102803738317757,0.021806853582554516,0.04672897196261682,0.6728642072984786
NYY,291,0.4286665293959082,0.6998589958966043,0.31578462987906486,86.67272727272727,0.08247422680412371,0.06529209621993128,0.037800687285223365,1.751957935774426
PHI,228,0.35120414957752516,0.7551075819449774,0.3749825702570219,83.03939393939395,0.08333333333333333,0.021929824561403508,0.07017543859649122,0.7800547691228665
PIT,295,0.2724212984615385,0.49818440818440823,0.32976425796425796,80.81379310344828,0.0711864406779661,0.020338983050847456,0.08135593220338982,-0.635641877478265
SD,285,0.3546369031757321,0.5689515981240981,0.31378854712538923,85.12083333333334,0.11578947368421053,0.028070175438596492,0.03859649122807018,0.7251545038575018
SEA,286,0.23665580372852954,0.43576361607142855,0.252946155002405,82.61975308641975,0.06643356643356643,0.027972027972027972,0.06993006993006994,-1.088690064705768
SF,130,0.34468231688311685,0.5950129464285715,0.35586079545454546,84.11666666666666,0.1076923076923077,0.007692307692307693,0.046153846153846156,0.5324961132159056
STL,115,0.33415268228849665,0.7462438286163523,0.4260107704402516,85.64324324324325,0.09565217391304348,0.017391304347826087,0.09565217391304348,0.8443243827237723
TB,262,0.2481338550932568,0.42802599457994583,0.30031343089430895,82.33780487804877,0.061068702290076333,0.015267175572519083,0.07251908396946564,-1.029835610292704
TEX,258,0.26751917253176927,0.6114452126305068,0.29142424454630333,79.09305555555555,0.05813953488372093,0.023255813953488372,0.08914728682170543,-0.7179472287606794
TOR,297,0.32027008260465,0.6062778985155195,0.34698868699955016,81.7443396226415,0.0707070707070707,0.016835016835016835,0.06397306397306397,0.04715127415458412
WSH,98,0.3162146258234519,0.6465118371212121,0.32830563446969696,83.11,0.061224489795918366,0.01020408163265306,0.061224489795918366,0.011738760171212564
